sample, c__Gammaproteobacteria, p__Chloroflexi_unassigned, c__MBNT15, c__Deep_Sea_Euryarchaeotic_Group(DSEG), c__TK10, c__Gracilibacteria, c__Synergistia, c__Methylomirabilia, c__Entotheonellia, c__NB1-j, c__Vicinamibacteria, c__Saccharimonadia, c__MB-A2-108, c__Cyanobacteriia,d__Bacteria_unassigned, p__Firmicutes_unassigned, c__Polyangia, c__Holophagae, c__Vampirivibrionia, c__Chloroflexia, c__Verrucomicrobiae, c__Thermoplasmata, c__Alphaproteobacteria, c__Parcubacteria, c__Oligoflexia, c__Desulfuromonadia, c__Ktedonobacteria, c__Spirochaetia, c__Rubrobacteria, c__Planctomycetes, c__Bacteroidia, c__Longimicrobia, c__Bdellovibrionia, c__Thermococci, c__Negativicutes, c__Anaerolineae, c__Babeliae, c__Fusobacteriia, c__Armatimonadia, c__Bacilli, p__Actinobacteriota_unassigned, c__Coriobacteriia, p__Armatimonadota_unassigned, c__Rhodothermia, c__Omnitrophia, c__Thermoleophilia, c__Abditibacteria, c__Acidobacteriae, c__Asgardarchaeota, c__Halobacteria, c__Acidimicrobiia, c__Thermaerobacteria, c__Desulfobulbia, c__Myxococcia, c__Aenigmarchaeia, c__Phycisphaerae, c__Deinococci, p__Proteobacteria_unassigned, c__Campylobacteria, c__Clostridia, c__Gemmatimonadetes, c__Actinobacteria, c__Blastocatellia
MASK003.V1.SKIN,943,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,207,0,0,0,276,0,0,25,0,2083,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,15,0,25518,0
MASK003.v1.throat,1233,0,0,0,0,0,0,0,0,0,0,40,0,0,15,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,912,0,0,0,1463,0,0,2446,0,8255,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,262,0,3271,0
MASK003.V2.MASK,670,0,0,0,0,0,0,0,0,0,0,65,0,35,0,0,0,0,0,0,0,0,57,0,0,0,0,0,168,0,157,0,0,0,0,0,0,0,0,1651,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,152,0,9450,0
MASK003.V2.SKIN,601,0,0,0,0,0,0,0,0,0,0,31,0,19,3,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,1226,0,0,0,764,0,0,72,0,6576,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,71,0,20522,0
MASK003.V2.SKIN.B,780,0,0,0,0,0,0,0,2,0,0,16,0,17,0,0,0,0,0,0,0,0,51,0,0,0,0,2,0,0,1094,0,0,0,762,0,0,203,0,7663,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,47,0,17468,0
MASK003.v2.throat,7877,0,0,0,0,3,0,0,0,0,0,69,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389,0,0,0,3129,0,0,1871,0,15583,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,174,0,7904,0
MASK003.V3.MASK,495,0,0,0,0,4,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,424,0,0,0,398,0,0,56,0,6133,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,52,0,18424,0
MASK003.v3.throat,6945,0,0,0,0,0,0,0,0,0,0,31,0,0,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374,0,0,0,3408,0,0,1400,0,14143,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,272,0,4775,0
MASK004.V1.MASK,3482,0,0,0,0,21,0,0,0,0,0,6,0,107,0,0,0,0,0,0,0,0,12,0,0,0,0,0,41,0,733,0,0,0,372,0,0,422,0,13861,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,283,0,5904,0
MASK004.V1.SKIN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,17170,0
